ComplaintID,CustomerID,DateOpened,DateClosed,Channel,Product,IssueCategory,Severity,Status,Resolution,SLA_Target_Hours,FRT_Minutes,HandleTime_Minutes,CustomerSegment,Region
CX250707274,C77585,2025-07-01 08:47:00,2025-07-04 01:47:00,Email,Accounts,Balance discrepancy,Low,Closed,Unresolved,72,67,29,Corporate,Central
CX250711810,C70597,2025-07-01 08:58:00,2025-07-03 03:58:00,App,Agent Banking,Cash-out failed,Medium,Closed,Resolved,48,1,29,SME,Coast
CX250704615,C41848,2025-07-01 09:00:00,2025-07-01 18:00:00,Live Chat,Cards,Card blocked,Low,Closed,Resolved,48,5,35,Corporate,Western
CX250700597,C83287,2025-07-01 09:28:00,2025-07-01 15:28:00,WhatsApp,Internet Banking,Session timeout,Low,Closed,Resolved,48,5,19,Retail,Western
CX250704608,C69485,2025-07-01 09:40:00,2025-07-01 22:40:00,Branch,Mobile Banking,Bill payment failed,High,Closed,Resolved,12,29,35,SME,Rift Valley
CX250703221,C87418,2025-07-01 09:40:00,,X,Mobile Banking,App crash,Low,Open,Partially Resolved,48,10,17,SME,Rift Valley
CX250700414,C61016,2025-07-01 09:48:00,2025-07-04 10:48:00,Call Centre,Agent Banking,Float issues,Medium,Closed,Resolved,48,7,16,SME,North Eastern
CX250706817,C41166,2025-07-01 10:06:00,2025-07-02 03:06:00,Live Chat,Loans,Loan balance query,Medium,Closed,Resolved,72,4,22,Corporate,Nairobi
CX250706632,C65194,2025-07-01 10:16:00,2025-07-01 16:16:00,Facebook,Internet Banking,Login failure,Medium,Closed,Partially Resolved,24,13,40,Retail,Nairobi
CX250709455,C25931,2025-07-01 11:00:00,2025-07-01 21:00:00,Live Chat,ATM,ATM downtime,Medium,Closed,Resolved,48,8,14,Retail,Coast
CX250706240,C68983,2025-07-01 11:02:00,2025-07-01 18:02:00,Facebook,Cards,Declined transaction,Medium,Closed,Resolved,24,47,14,Corporate,Eastern
CX250700076,C70958,2025-07-01 11:08:00,2025-07-02 02:08:00,Email,Loans,Loan balance query,Medium,Open,Partially Resolved,72,26,19,SME,Coast
CX250700731,C40314,2025-07-01 11:11:00,,WhatsApp,Mobile Banking,OTP not received,Low,Escalated,Unresolved,48,10,29,Retail,Rift Valley
